ra_deg,dec_deg,vmag
101.287,-16.716,-1.46
95.988,-52.696,-0.72
213.915,19.183,-0.04
219.9,-60.835,-0.01
279.235,38.784,0.03
79.172,45.998,0.08
78.635,-8.202,0.12
114.825,5.225,0.38
24.429,-57.237,0.46
88.793,7.407,0.5
210.956,-60.373,0.61
297.696,8.868,0.77
68.98,16.509,0.85
247.352,-26.432,0.96
201.298,-11.161,0.98
116.329,28.026,1.14
344.413,-29.622,1.16
191.93,-59.689,1.25
310.358,45.28,1.25
186.65,-63.099,1.33
219.9,-60.836,1.33
152.093,11.967,1.35
104.656,-28.972,1.5
187.791,-57.113,1.63
263.402,-37.104,1.63
81.283,6.35,1.64
81.573,28.608,1.65
138.3,-69.717,1.68
84.053,-1.202,1.7
186.652,-63.099,1.73
332.058,-46.961,1.74
193.507,55.96,1.77
122.383,-47.337,1.78
51.081,49.861,1.79
165.932,61.751,1.79
107.098,-26.393,1.84
276.043,-34.385,1.85
125.628,-59.51,1.86
206.885,49.313,1.86
264.33,-42.998,1.87
89.882,44.947,1.9
252.166,-69.028,1.92
99.428,16.399,1.93
306.412,-56.735,1.94
131.176,-54.708,1.96
95.675,-17.956,1.98
113.65,31.888,1.98
141.897,-8.659,1.98
31.793,23.462,2.0
239.876,25.92,2.0
37.953,89.264,2.02
283.816,-26.297,2.02
10.898,-17.987,2.04
85.19,-1.943,2.05
2.097,29.091,2.06
17.433,35.621,2.06
86.939,-9.67,2.06
211.671,-36.37,2.06
222.676,74.156,2.08
263.734,12.56,2.08
340.667,-46.885,2.1
47.042,40.956,2.12
177.265,14.572,2.14
190.379,-48.96,2.17
305.557,40.257,2.2
136.999,-43.432,2.21
10.127,56.537,2.23
83.002,-0.299,2.23
233.672,26.715,2.23
269.152,51.489,2.23
120.896,-40.003,2.25
139.273,-59.275,2.25
30.975,42.33,2.26
2.295,59.15,2.27
200.981,54.925,2.27
252.541,-34.293,2.29
204.972,-53.466,2.3
220.482,-47.388,2.3
218.877,-42.158,2.31
240.083,-22.622,2.32
165.46,56.383,2.37
6.571,-42.306,2.39
326.047,9.875,2.39
265.622,-39.03,2.41
345.944,28.083,2.42
257.595,-15.725,2.43
178.457,53.695,2.44
319.645,62.586,2.44
111.024,-29.303,2.45
311.553,33.97,2.46
14.177,60.717,2.47
346.19,15.205,2.49
140.528,-55.011,2.5
45.57,4.09,2.53
208.885,-47.288,2.55
168.527,20.524,2.56
249.29,-10.567,2.56
83.182,-17.822,2.58
183.952,-17.542,2.59
182.09,-50.723,2.6
285.653,-29.88,2.6
154.993,19.842,2.61
229.252,-9.383,2.61
89.93,37.213,2.62
241.359,-19.806,2.62
28.66,20.808,2.64
84.912,-34.074,2.64
188.597,-23.397,2.65
236.067,6.426,2.65
21.454,60.235,2.68
208.671,18.398,2.68
224.633,-43.134,2.68
74.248,33.166,2.69
161.692,-49.42,2.69
189.296,-69.136,2.69
262.691,-37.296,2.69
109.286,-37.098,2.7
221.247,27.074,2.7
275.249,-29.828,2.7
296.565,10.613,2.72
243.586,-3.694,2.74
245.998,61.514,2.74
200.149,-36.712,2.75
222.72,-16.042,2.75
160.739,-64.394,2.76
83.858,-5.91,2.77
247.555,21.49,2.77
265.868,4.567,2.77
233.785,-41.167,2.78
76.963,-5.086,2.79
262.608,52.301,2.79
6.438,-77.254,2.8
183.786,-58.749,2.8
121.886,-24.304,2.81
250.322,31.603,2.81
276.993,-25.422,2.81
248.971,-28.216,2.82
3.309,15.184,2.83
195.544,10.959,2.83
82.061,-20.759,2.84
58.533,31.884,2.85
238.785,-63.431,2.85
261.325,-55.53,2.85
29.692,-61.57,2.86
334.625,-60.26,2.86
56.871,24.105,2.87
296.244,45.131,2.87
326.76,-16.127,2.87
95.74,22.514,2.88
113.65,31.889,2.88
59.463,40.01,2.89
229.728,-68.679,2.89
239.713,-26.114,2.89
245.297,-25.593,2.89
287.441,-21.024,2.89
111.788,8.289,2.9
